PF,0,1.2061897025641024
RR,5,1.1871496205128205
PF,0,0.9723787076923076
PF,5,1.201794051282051
BATS,0,1.240636882051282
MT,5,1.123443707317073
BATS,0,1.2138445948717949
MT,5,1.2044474256410254
RR,5,1.1648131282051282
RR,5,0.9093134769230768
MT,5,1.20269961025641
RR,0,1.0047494564102564
BATS,5,1.2369507282051282
RR,0,1.1902296205128204
PF,5,0.9574584205128205
MT,5,1.1928034114114112
MT,0,1.118290107784431
BATS,5,1.214596594871795
PF,5,1.0466362666666666
RR,5,1.1912164923076922
PF,5,1.205986297435897
BATS,5,0.9752148512820513
RR,0,1.1866026666666667
BATS,5,1.0811101538461538
BATS,0,1.2480535794871794
BATS,0,0.9748031999999999
MT,0,1.2043985641025639
MT,0,1.1928034114114112
PF,0,1.2015769025641023
RR,0,1.1670980923076923
MT,5,1.1859280820512819
MT,0,1.201768533333333
RR,5,1.0079938461538462
BATS,0,1.0770489846153846
BATS,5,1.248150317948718
PF,0,1.0466116512820514
PF,5,1.2062563692307693
MT,0,1.185582687179487
RR,0,0.9058454974358976
PF,0,1.201345887179487
